Page_no,Link_no,Address,Sold_price,List_price,Style,Bedrooms,Bathrooms,Sqft_min,Sqft_max,Latitude,Longitude,Postal_code,Added_at,Sold_at,Last_status,Link_path,Address_path,Link_num,Title,Type,Exterior,Basement,Parking,Kitchens,Lot_frontage,Lot_depth,Parking_included,Parking_spaces,Approx_age,Extras,Is_rental,Description,MLS,Neighbourhood,Link,Garage,Heat,Heating_fuel,AC
1,1,314 Darlington Crt,905000.0,699000.0,house-detached,3,2,2000,2500,-79.91299529999999,43.2283244,L9C6Z2,2021-02-11T16:36:50.488Z,2021-02-18T04:00:00.000Z,Sld,/hamilton-on-real-estate/10508863-314-darlington-crt-hamilton-on-l9c6z2,/hamilton-on-real-estate/314-darlington-ct,1,"314 Darlington Crt, Hamilton (X5112281) | Zoocasa",Detached,Brick,Fin W/O,4,1,50.03 feet,102.6 feet,True,4.0,31-50,"Rental Items:  None Inclusions:  Fridge, Stove, Dishwasher, Washer Dryer, All Electrical Light Fixtures, Window Coverings, Shed, Automatic Storage Door Opener.",False,"Impressive, Immaculate, Lovingly Maintained And Updated Home, With Pride Of Ownership Evident Throughout. Four Level Split Plus Basement, Over 2000 Square Feet On The Main And Bedroom Levels And Over 1300 Square Feet Of Additional Space On The Lower Two Levels. Gleaming Hardwood, Home Office, Side Entrance To Ground Level, Inside Access To 2 Car Garage, Freshly Painted 2021, Gas Fireplace 2020, Concrete Drive, Gas Bbq And Dryer Lines. Wonderful Family Area.",X5112281,Gilbert,http://www.zoocasa.com//hamilton-on-real-estate/10508863-314-darlington-crt-hamilton-on-l9c6z2,Attached,Forced Air,Gas,Central Air
1,2,69 Richmond Cres,1456000.0,1299900.0,house-detached,4,4,3000,3500,-79.6407586,43.22373109999999,L8E5T9,2021-02-16T18:35:27.376Z,2021-02-17T04:00:00.000Z,Sld,/hamilton-on-real-estate/10517907-69-richmond-cres-hamilton-on-l8e5t9,/hamilton-on-real-estate/69-richmond-cres,2,"69 Richmond Cres, Hamilton (X5116636) | Zoocasa",Detached,Brick,Finished,6,1,59.06 feet,153.38 feet,True,6.0,,"The Basement Offers A Fully Equipped Second Kitchen, Dining Area, Generous Sized Rec Room W/ A Wood Burning Stove, 3-Piece Bathroom, Ample Storage & 2 Additional Bedrooms With A Potential Of An Easily Converted Third Bedroom. Call Us Today!",False,"Welcome To 69 Richmond Crescent. This Spectacular Custom Built Raised Bungalow Has 4+2 Bedrooms, 3.5 Bathrooms With Over 5,500 Sqft Of Luxury Living Space! Fantastic Property In The Lakefront Community Of Fifty Point Just Steps From The Lake! Enjoy Quality Features Including Tons Of Natural Lighting, Remarkable Light Fixtures & Pot Lights, High Vaulted Ceilings, Ceramic Tile & Hardwood Flooring & Fully Fenced Backyard With A Large Deck, Gazebo & Storage Shed.",X5116636,Winona Park,http://www.zoocasa.com//hamilton-on-real-estate/10517907-69-richmond-cres-hamilton-on-l8e5t9,Attached,Forced Air,Gas,Central Air
1,3,120 Cole St,980000.0,889900.0,house-attached,4,4,2500,3000,-79.90926420000001,43.33872830000001,L8B0A1,2021-02-13T12:48:44.294Z,2021-02-17T04:00:00.000Z,Sld,/hamilton-on-real-estate/10514029-120-cole-st-hamilton-on-l8b0a1-vow,/hamilton-on-real-estate/120-cole-st,3,"120 Cole St, Hamilton (X5114588) | Zoocasa",Att/Row/Twnhouse,Brick,None,3,1,31.72 feet,127.66 feet,True,3.0,0-5,"Inclusions: Fridge, Stove, Dishwasher, Washer, Dryer, All Light Fixtures, All Window Coverings, All Bathroom Mirrors, Gdo + Remotes (2), Tv Mounts.  Rental: Hwt",False,"Spectacular Finishes In This 2500+ Sqft Home W/3 Full Lvls Of Living W/4bedrms & 4baths. Premium Corner Lot W/Wrap-Around Porch. 1st Lvl  Offers A Bdrm/Office Space, Recrm & Bath.  2nd Flr Living W/Full Size Working/Entertaining Kitch W/White Cabinetry, White Quartz Counters, 9' Center Island W/Breakfast Bar. Kitch Spills Into Mn Famrm & Formal Dining Area W/Accent Wall & Wide Plank Flring.  Upstrs, 3 Bdrms Incldng Mstr Suite W/Upgrd Ensuite & Walk-In Closet.",X5114588,Waterdown,http://www.zoocasa.com//hamilton-on-real-estate/10514029-120-cole-st-hamilton-on-l8b0a1-vow,Attached,Forced Air,Gas,Central Air
1,4,11 Reynold St,1050000.0,849999.0,house-detached,3,2,1100,1500,-79.88972849999999,43.3354686,L0R2H0,2021-02-12T15:36:56.821Z,2021-02-17T04:00:00.000Z,Sld,/hamilton-on-real-estate/10511696-11-reynold-st-hamilton-on-l0r2h0,/hamilton-on-real-estate/11-reynold-st,4,"11 Reynold St, Hamilton (X5113406) | Zoocasa",Detached,Alum Siding and Brick,Full and Finished,5,1,54.99 feet,99 feet,True,5.0,31-50,"Incl: Gas Range, Hood Fan, Fridge, Dishwasher, Washer, Dryer, Built In Speakers, All Elf ,& All Window Treatments. Excl: Projector, Screen, Surround Sound & Equipment In Audio Closet In Bsmt, All T.V'S, Bsmt Fridge & Freezer, & Microwave.",False,"Raised Bungalow In The Heart Of Waterdown!  This 3+2 Bedrm, 2 Bath Home Has Over 1100 Square Feet And A Fully Finished Basement. Open Concept Main Floor With A Large Kitchen Island Overlooking The Living/Dining Rm. Spacious Rec Room With A Gas Fireplace In Bsmt. Private Backyard With A Heated In-Ground Pool, Interlock Patio And Surrounded By Mature Trees. Sitting On A Court Walking Distance To The Waterdown Core, Mins Away From All Amenities.",X5113406,Rockcliffe Survey,http://www.zoocasa.com//hamilton-on-real-estate/10511696-11-reynold-st-hamilton-on-l0r2h0,Attached,Forced Air,Gas,Central Air
1,5,832 Concession St,406000.0,329900.0,condo-highrise,1,1,600,699,-79.8405724,43.2378698,L8V1E2,2021-02-12T12:38:06.075Z,2021-02-17T04:00:00.000Z,Sld,/hamilton-on-real-estate/10510778-14-832-concession-st-hamilton-on-l8v1e2,/hamilton-on-real-estate/14-832-concession-st,5,"14 - 832 Concession St, Hamilton (X5113212) | Zoocasa",Condo Apt,Brick,Finished and Full,1,1,,,True,1.0,,,False,"This Updated, Trendy And Bright 1 Bdrm, 1 Bath Condo Is Sure To Impress. Located Near Juravinski Hospital, Escarpment Views, Trails And Parks. Perfect For Front Line Workers, First Time Buyers, Retirees, Or Investment Purposes This Building Has Been Well Maintained And Updated. Units Are Freshly Painted With Newer Kitchens, Radiant Hot Water Heated Floors, And Newer Windows. With This Condo You Will Have In-Suite Laundry, Owned Locker, 1 Owned Parking Space.",X5113212,Raleigh,http://www.zoocasa.com//hamilton-on-real-estate/10510778-14-832-concession-st-hamilton-on-l8v1e2,Surface,Radiant,Gas,Wall Unit
1,6,115 Welbourn Dr,722000.0,539900.0,house-detached,3,2,,,-79.8699271,43.23344790000001,L9A3N5,2021-02-11T20:37:48.088Z,2021-02-17T04:00:00.000Z,Sld,/hamilton-on-real-estate/10509363-115-welbourn-dr-hamilton-on-l9a3n5,/hamilton-on-real-estate/115-welbourn-dr,6,"115 Welbourn Dr, Hamilton (X5112863) | Zoocasa",Detached,Brick,Finished and Full,4,1,50 feet,102 feet,True,4.0,,"Rental Items: Hot Water Heater. Inclusions: All Window Coverings & Hardware, All Ceiling Fans, All Bathroom Mirrors, All Attached Interior & Exterior Light Fixtures, Fridge, Stove, Washer, Dryer.",False,"Solid Brick Bungalow Positioned On 50x102 Landscaped Lot Boasting Prime Mountain Location. Ftrs 1,008sf Of Clean Living Area + 1008sf Fin Basement. Inviting Living Room Leads To Kitchen W/Euro Cabinetry + Wood-Style Countertops, 3 Sizeable Bdrms, 4pc Bath + Side Basement Access. Hrdwd Flring Compliment Well Preserved D?Cor. Lwr Lvl Ftrs Family Rm, 3pc Bath, Multi-Purp. Room(Poss. 4th Bedroom), Laundry Rm Incs Kitchenette (Poss. In-Law) + Workshop/Utility Rm.",X5112863,Balfour,http://www.zoocasa.com//hamilton-on-real-estate/10509363-115-welbourn-dr-hamilton-on-l9a3n5,None,Forced Air,Gas,Central Air
1,7,22 Spring Creek Dr,775000.0,699900.0,house-attached,3,3,1500,2000,-79.8785418,43.3450709,L0R2H8,2021-02-11T15:35:23.676Z,2021-02-17T04:00:00.000Z,Sld,/hamilton-on-real-estate/10508231-55-22-spring-creek-dr-hamilton-on-l0r2h8,/hamilton-on-real-estate/55-22-spring-creek-dr,7,"55 - 22 Spring Creek Dr, Hamilton (X5111935) | Zoocasa",Att/Row/Twnhouse,Brick and Vinyl Siding,None,2,1,21 feet,44.29 feet,True,2.0,0-5,"Well Cared For & No Expense Spared. See Attachments For List Of Upgrades. Mins To Dt Waterdown, Aldershot Go, Qew, 403 & 407 Hwys. Instant Hot Water Heater Is A Rental ($49/ Month). Road Fee ($90/ Month) Incl. Rental Items: Hot Water Heater",False,"Freehold Townhome In An Unbeatable Location! This Spacious Townhome Offers Over 1500 Sf Living Space & Upgraded Finishes. Bright, O/C Floor Plan Features Beautiful, White Kitchen, Compl. W/ Ss Appliances & A Sprawling Island W/ Quartz Counters. Sunlit Liv/ Din Areas Offer Custom, B/I Cabinetry & Fireplace, & A W/O To The Balcony. Mstr W/ Ensuite & W/I Closet, Plus Spacious 2nd & 3rd Beds & 4-Pce Bath. Mudroom W/ In-Suite Laundry & Access To Garage.",X5111935,Waterdown North,http://www.zoocasa.com//hamilton-on-real-estate/10508231-55-22-spring-creek-dr-hamilton-on-l0r2h8,Attached,Forced Air,Gas,Central Air
1,8,26 London St N,600000.0,399000.0,house-detached,2,1,1100,1500,-79.81821670000001,43.2430798,L8H4B3,2021-02-11T13:35:30.311Z,2021-02-17T04:00:00.000Z,Sld,/hamilton-on-real-estate/10507465-26-london-st-n-hamilton-on-l8h4b3,/hamilton-on-real-estate/26-london-st-n,8,"26 London St N, Hamilton (X5111850) | Zoocasa",Detached,Alum Siding and Brick,Full and Unfinished,0,1,29.99 feet,100 feet,True,0.0,51-99,"Incl: Fridge, Stove, Micro, Washer, Dryer, Shed, All Window Coverings Except For Exlusions, Elf'S Excl: Chest Freezer In Bsmt, Blackout Curtains In Both Bdrms. Rental: Water Heater",False,"Immaculately Well Maintained Home Is Steps From Ottawa Street W/ Shops, Restaurants, Antiques, Textiles & Farmer'S Market. Generous Lr/Dr W/ Gleaming Hrdwd Fls. Kitch & Bonus Den Lead To The Fully Fenced Oversized Rear Yd W/ Raised Garden Beds & Shed. 2 Lg Bdrms & 4pc Bath.  Updates Incl: Furnace '19, A/C '19 New Deck '20, New Fence '17. Parking Can Be Added Off Alley.  Centrally Located Near Public Transit, Tim Horton'S Field, Gage Park & Centre On Barton",X5111850,Crown Point East,http://www.zoocasa.com//hamilton-on-real-estate/10507465-26-london-st-n-hamilton-on-l8h4b3,None,Forced Air,Gas,Central Air
1,9,113 Hillview St,670000.0,649900.0,house-detached,4,3,1500,2000,-79.9246701,43.248745,L8S2Z4,2021-02-11T12:36:00.987Z,2021-02-17T04:00:00.000Z,Sld,/hamilton-on-real-estate/10507205-113-hillview-st-hamilton-on-l8s2z4,/hamilton-on-real-estate/113-hillview-st,9,"113 Hillview St, Hamilton (X5111603) | Zoocasa",Detached,Vinyl Siding,Finished and Full,5,1,40 feet,135 feet,True,5.0,51-99,"The Main Floor Offers A Living Room, Kitchen, Dining Room, 2-Bed Rooms, 4 Pc Bath, And Laundry... Upstairs Another 2 Bedrooms With 2 Pc Bath. The Fully Finished Basement With In-Law Suite Features Its Own Separate Walk Up From The Back Deck",False,"Beautiful Family Home Nestled Just Under The Escarpment In One Of West Hamilton'S Most Desirable Neighborhoods, Featuring A Full In-Law Suite With Separate Private Entry!!!",X5111603,Ainslie Wood East,http://www.zoocasa.com//hamilton-on-real-estate/10507205-113-hillview-st-hamilton-on-l8s2z4,None,Forced Air,Gas,Central Air
1,10,8 Sharp Dr E,640000.0,569900.0,house-attached,2,2,1100,1500,-79.9367049,43.2098893,L9K0J9,2021-02-10T19:49:51.485Z,2021-02-17T04:00:00.000Z,Sld,/hamilton-on-real-estate/10505881-8-sharp-dr-e-hamilton-on-l9k0j9-vow,/hamilton-on-real-estate/8-sharp-dr-e,10,"8 Sharp Dr E, Hamilton (X5111059) | Zoocasa",Att/Row/Twnhouse,Alum Siding and Stone,None,2,1,21 feet,49.44 feet,True,2.0,0-5,Rsa. Freehold With Condo Road Fee. Status Certificate Available. Tankless Water Heater. Hrv Is A Rental.,False,"Newly Built Luxurious 3 Storey Townhome In The Garner Town Estate Complex! This Beautiful, Bright, Tonwhome Boasts 1370 Square Feet Of Living Space With 2 Spacious Bedrooms Plus Loft, And Large Windows That Are Featured Throughout All Levels.",X5111059,Falkirk West,http://www.zoocasa.com//hamilton-on-real-estate/10505881-8-sharp-dr-e-hamilton-on-l9k0j9-vow,Attached,Forced Air,Gas,Central Air
