"FMF_OBJECT_ID","OFFICIAL_MUNICIPAL_NAME","MUNID","MAH_CODE","MUNICIPAL_AREA_EXTENT_TYPE","ASSESSMENT_CODE","MUNICIPAL_NAME_PREFIX","MUNICIPAL_NAME_SHORTFORM","EXT_EFFECTIVE_DATETIME","EXT_EXPIRY_DATETIME","EFFECTIVE_DATETIME","EXPIRY_DATETIME"
"67906693","DISTRICT OF MANITOULIN","51000","0","Water","","","","2010-12-30-16:39:58","","2011-01-01-01:30:03",""
"67906696","DISTRICT OF TEMISKAMING","54000","0","Water","","","","2011-01-05-08:41:40","","2011-01-08-02:18:17",""
"67906699","DISTRICT OF ALGOMA","57000","0","Water","","","","2010-12-30-16:48:57","","2011-01-01-01:30:03",""
"67906701","DISTRICT OF THUNDER BAY","58000","0","Water","0","","","2008-11-03-12:10:01","","2008-10-22-10:59:48",""
"67906704","DISTRICT OF RAINY RIVER","59000","0","Water","0","","","2008-11-03-12:10:01","","2008-10-22-11:03:51",""
"67906706","REGIONAL MUNICIPALITY OF DURHAM","18000","10000","Islands","1800","","","2008-11-03-12:10:01","","2008-10-22-11:04:14",""
"67906850","DISTRICT OF NIPISSING","48000","0","Islands","0","","","2008-03-25-16:21:12","","2008-03-13-15:01:20",""
"67906896","DISTRICT OF PARRY SOUND","49000","0","Islands","","","","2010-12-30-11:11:51","","2011-01-01-01:30:03",""
"67906909","DISTRICT OF MANITOULIN","51000","0","Islands","0","","","2008-11-03-12:10:01","","2008-10-22-09:51:24",""
"67906942","DISTRICT OF TEMISKAMING","54000","0","Islands","","","","2011-01-05-08:41:55","","2011-01-08-02:18:17",""
"67906958","DISTRICT OF ALGOMA","57000","0","Islands","","","","2010-12-30-16:21:06","","2011-01-01-01:30:03",""
"67906967","DISTRICT OF THUNDER BAY","58000","0","Islands","0","","","2008-11-03-12:10:01","","2008-10-22-10:00:13",""
"67906981","DISTRICT OF RAINY RIVER","59000","0","Islands","0","","","2008-11-03-12:10:01","","2008-10-22-10:01:04",""
"67906988","DISTRICT OF NIPISSING","48000","0","Mainland","0","","","2008-11-03-12:10:01","","2008-10-22-10:01:41",""
"67906996","DISTRICT OF PARRY SOUND","49000","0","Mainland","","","","2010-12-30-11:15:30","","2011-01-01-01:30:03",""
"67907006","DISTRICT OF MANITOULIN","51000","0","Mainland","0","","","2008-11-03-12:10:01","","2008-10-22-10:10:09",""
"67907024","DISTRICT OF SUDBURY","52000","0","Mainland","","","","2010-12-30-16:44:01","","2011-01-01-01:30:03",""
"67907029","DISTRICT OF TEMISKAMING","54000","0","Mainland","","","","2011-01-05-08:42:19","","2011-01-08-02:18:17",""
"67907032","DISTRICT OF COCHRANE","56000","0","Mainland","0","","","2008-11-03-12:10:01","","2008-10-22-10:15:37",""
"67907051","DISTRICT OF ALGOMA","57000","0","Mainland","","","","2010-12-30-16:36:53","","2011-01-01-01:30:03",""
"67907079","DISTRICT OF THUNDER BAY","58000","0","Mainland","0","","","2008-11-03-12:10:01","","2008-10-22-10:25:17",""
"67907100","DISTRICT OF RAINY RIVER","59000","0","Mainland","0","","","2008-11-03-12:10:01","","2008-10-22-10:28:26",""
"67907124","DISTRICT OF KENORA","60000","0","Mainland","0","","","2008-11-03-12:10:01","","2008-10-22-10:30:30",""
"67907130","DISTRICT OF NIPISSING","48000","0","Water","0","","","2008-11-03-12:10:01","","2008-10-22-10:30:43",""
"67907458","DISTRICT OF PARRY SOUND","49000","0","Water","","","","2010-12-30-11:27:10","","2011-01-01-01:30:03",""
"67907477","REGIONAL MUNICIPALITY OF YORK","19000","27000","Islands","2000","","","2008-11-03-12:10:01","","2008-10-22-11:04:21",""
"67907480","REGIONAL MUNICIPALITY OF NIAGARA","26000","18000","Islands","2600","","","2008-11-03-12:10:01","","2008-10-22-11:04:24",""
"67907483","COUNTY OF SIMCOE","43000","70000","Islands","4300","","","2008-11-03-12:10:01","","2008-10-22-11:04:49",""
"67907488","DISTRICT MUNICIPALITY OF MUSKOKA","44000","33000","Islands","4400","","","2008-11-03-12:10:01","","2008-10-22-11:05:40",""
