"FMF_OBJECT_ID","CONC_CLASS_SHORT_NAME","GEOG_UNIT_TYPE_NUM","GEOG_UNIT_DESCR","VERIFICATION_STATUS_FLG","VERIFICATION_STATUS_DATE","BUSINESS_EFF_DATE_FLG","BUSINESS_EFFECTIVE_DATE","BUSINESS_EXPIRY_DATE","LOCATION_ACCURACY","LOCATION_DESCR","DATA_SENSITIVITY_IND","SENSITIVITY_CLASS","SENSITIVITY_DATE","SENSITIVITY_RATIONALE","SENS_RATIONALE_OTHER_DESCR","SYSTEM_CALCULATED_AREA","SYSTEM_CALCULATED_LENGTH","USER_CALCULATED_METRIC","GENERAL_COMMENTS","PUBLISHER_ID","EFFECTIVE_DATETIME","EXPIRY_DATETIME","EXT_EFFECTIVE_DATETIME","EXT_EXPIRY_DATETIME"
"67906569","MUNICLOW","96","2565","Verified","1996-01-01-00:00:00","Actual","2008-01-01-00:00:00","","Within 50 metres","Within 50 meters","No","Non-Sensitive","2008-03-13-14:28:49","No Restriction Needed","","3052997.312","8354.474","","","0","2008-11-03-12:10:01","","2008-10-22-12:19:48",""
"67906570","MUNICLOW","96","2565","Verified","1996-01-01-00:00:00","Actual","2008-01-01-00:00:00","","Within 50 metres","Within 50 meters","No","Non-Sensitive","2008-03-13-14:28:52","No Restriction Needed","","201764053.652","56836.139","","","0","2008-11-03-12:10:01","","2008-10-22-12:19:49",""
"67906572","MUNICLOW","96","2565","Verified","1996-01-01-00:00:00","Actual","2008-01-01-00:00:00","","Within 50 metres","Within 50 meters","No","Non-Sensitive","2008-03-13-14:29:01","No Restriction Needed","","200611197.503","56711.746","","","0","2008-11-03-12:10:01","","2008-10-22-12:19:51",""
"67906573","MUNICLOW","96","2565","Verified","1996-01-01-00:00:00","Actual","2008-01-01-00:00:00","","Within 50 metres","Within 50 meters","No","Non-Sensitive","2008-03-13-14:29:10","No Restriction Needed","","1439863.781","18547.686","","","0","2008-11-03-12:10:01","","2008-10-22-12:19:56",""
"67906574","MUNICLOW","96","2565","Verified","1996-01-01-00:00:00","Actual","2008-01-01-00:00:00","","Within 50 metres","Within 50 meters","No","Non-Sensitive","2008-03-13-14:29:20","No Restriction Needed","","298189422.654","86980.803","","","0","2008-11-03-12:10:01","","2008-10-22-12:20:02",""
"67906575","MUNICLOW","96","2565","Verified","1996-01-01-00:00:00","Actual","2008-01-01-00:00:00","","Within 50 metres","Within 50 meters","No","Non-Sensitive","2008-03-13-14:29:36","No Restriction Needed","","25509946.789","82369.301","","","0","2008-11-03-12:10:01","","2008-10-22-12:20:27",""
"67906576","MUNICLOW","96","2565","Verified","1996-01-01-00:00:00","Actual","2008-01-01-00:00:00","","Within 50 metres","Within 50 meters","No","Non-Sensitive","2008-03-13-14:29:44","No Restriction Needed","","11832.563","661.158","","","0","2008-11-03-12:10:01","","2008-10-22-12:20:29",""
"67906578","MUNICLOW","96","2565","Verified","1996-01-01-00:00:00","Actual","2008-01-01-00:00:00","","Within 50 metres","Within 50 meters","No","Non-Sensitive","2008-03-13-14:30:03","No Restriction Needed","","13015465.534","25170.633","","","0","2008-11-03-12:10:01","","2008-10-22-12:20:48",""
"67906579","MUNICLOW","96","2565","Verified","1996-01-01-00:00:00","Actual","2008-01-01-00:00:00","","Within 50 metres","Within 50 meters","No","Non-Sensitive","2008-03-13-14:30:14","No Restriction Needed","","131061.377","4095.448","","","0","2008-11-03-12:10:01","","2008-10-22-12:20:51",""
"67906580","MUNICLOW","96","2565","Verified","1996-01-01-00:00:00","Actual","2008-01-01-00:00:00","","Within 50 metres","Within 50 meters","No","Non-Sensitive","2008-03-13-14:30:48","No Restriction Needed","","32370856.148","568183.403","","","0","2008-11-03-12:10:01","","2008-10-22-12:22:06",""
"67906581","MUNICLOW","96","2565","Verified","1996-01-01-00:00:00","Actual","2008-01-01-00:00:00","","Within 50 metres","Within 50 meters","No","Non-Sensitive","2008-03-13-14:31:11","No Restriction Needed","","223478941.722","182077.786","","","0","2008-11-03-12:10:01","","2008-10-22-12:22:36",""
"67906583","MUNICLOW","96","2565","Verified","1996-01-01-00:00:00","Actual","2008-01-01-00:00:00","","Within 50 metres","Within 50 meters","No","Non-Sensitive","2008-03-13-14:31:59","No Restriction Needed","","1199378335.678","863648.860","","","0","2008-11-03-12:10:01","","2008-10-22-12:23:41",""
"67906585","MUNICLOW","96","2565","Verified","1996-01-01-00:00:00","Actual","2008-01-01-00:00:00","","Within 50 metres","Within 50 meters","No","Non-Sensitive","2008-03-13-14:32:15","No Restriction Needed","","1040303881.506","147116.933","","","0","2008-11-03-12:10:01","","2008-10-22-12:23:48",""
"67906586","MUNICLOW","96","2565","Verified","1996-01-01-00:00:00","Actual","2008-01-01-00:00:00","","Within 50 metres","Within 50 meters","No","Non-Sensitive","2008-03-13-14:32:21","No Restriction Needed","","579942979.319","114231.153","","","0","2008-11-03-12:10:01","","2008-10-22-12:23:49",""
"67906587","MUNICLOW","96","2565","Verified","1996-01-01-00:00:00","Actual","2008-01-01-00:00:00","","Within 50 metres","Within 50 meters","No","Non-Sensitive","2008-03-13-14:32:28","No Restriction Needed","","182604123.979","62412.283","","","0","2008-11-03-12:10:01","","2008-10-22-12:23:50",""
"67906588","MUNICLOW","96","2565","Verified","1996-01-01-00:00:00","Actual","2008-01-01-00:00:00","","Within 50 metres","Within 50 meters","No","Non-Sensitive","2008-03-13-14:32:36","No Restriction Needed","","2257204.637","8007.676","","","0","2008-11-03-12:10:01","","2008-10-22-12:23:50",""
"67906589","MUNICLOW","96","2565","Verified","1996-01-01-00:00:00","Actual","2008-01-01-00:00:00","","Within 50 metres","Within 50 meters","No","Non-Sensitive","2008-03-13-14:32:46","No Restriction Needed","","201990988.950","56830.737","","","0","2008-11-03-12:10:01","","2008-10-22-12:23:51",""
