"FMF_OBJECT_ID","OFFICIAL_MUNICIPAL_NAME","MUNID","MAH_CODE","MUNICIPAL_AREA_EXTENT_TYPE","ASSESSMENT_CODE","MUNICIPAL_NAME_PREFIX","MUNICIPAL_NAME_SHORTFORM","UPPER_TIER_ASSESSMENT_CODE","UPPER_TIER_MUNICIPALITY","EXT_EFFECTIVE_DATETIME","EXT_EXPIRY_DATETIME","EFFECTIVE_DATETIME","EXPIRY_DATETIME"
"67906517","CITY OF PEMBROKE","47064","69101","Islands","4764","","","","","2008-11-03-12:10:01","","2008-10-22-12:11:27",""
"67906445","CITY OF PRINCE EDWARD COUNTY","13002","68101","Islands","1350","","","","","2008-11-03-12:10:01","","2008-10-22-12:06:49",""
"67906527","TOWNSHIP OF MATTAWAN","48019","85608","Islands","4819","","","","","2008-11-03-12:10:01","","2008-10-22-12:11:43",""
"67906482","CITY OF BRANTFORD","29006","40101","Mainland","2906","","","","","2008-11-03-12:10:01","","2008-10-22-12:10:41",""
"67906578","TOWN OF PARRY SOUND","49032","86402","Mainland","4932","","","","","2008-11-03-12:10:01","","2008-10-22-12:20:48",""
"67906532","TOWNSHIP OF CALVIN","48022","85604","Mainland","4822","","","","","2008-11-03-12:10:01","","2008-10-22-12:11:51",""
"67906426","TOWN OF PRESCOTT","7008","56302","Water","708","","","","","2008-11-03-12:10:01","","2008-10-22-11:39:18",""
"67906442","CITY OF QUINTE WEST","12010","51104","Islands","1204","","","","","2008-11-03-12:10:01","","2008-10-22-12:06:18",""
"67906433","TOWN OF GANANOQUE","7024","56301","Mainland","814","","","","","2008-11-03-12:10:01","","2008-10-22-11:39:31",""
"67906454","CITY OF GUELPH","23008","75101","Mainland","2308","","","","","2008-11-03-12:10:01","","2008-10-22-12:08:37",""
"67906539","CITY OF NORTH BAY","48044","85101","Mainland","4844","","","","","2008-11-03-12:10:01","","2008-10-22-12:11:54",""
"67906590","TOWNSHIP OF MACHAR","49054","86611","Mainland","4954","","","","","2008-11-03-12:10:01","","2008-10-22-12:23:52",""
"67906459","HALDIMAND COUNTY","28005","12102","Water","2810","","","","","2008-11-03-12:10:01","","2008-10-22-12:09:11",""
"67906575","MUNICIPALITY OF MCDOUGALL","49031","86612","Water","4931","","","","","2008-11-03-12:10:01","","2008-10-22-12:20:26",""
"68232271","CITY OF WINDSOR","37039","45101","Water","3739","","","","","2008-11-03-12:10:01","","2008-10-22-12:50:25",""
"67906801","TOWNSHIP OF CONMEE","58019","89601","Mainland","5819","","","","","2008-11-03-12:10:01","","2008-10-22-12:34:14",""
"67906848","TOWNSHIP OF EAR FALLS","60042","82605","Mainland","6042","","","","","2008-11-03-12:10:01","","2008-10-22-12:36:18",""
"67906785","TOWNSHIP OF PRINCE","57066","80610","Islands","5766","","","","","2008-11-03-12:10:01","","2008-10-22-12:33:33",""
"67906845","CITY OF DRYDEN","60025","82101","Mainland","6026","","","","","2008-11-03-12:10:01","","2008-10-22-12:36:06",""
"67906765","MUNICIPALITY OF HURON SHORES","57023","80620","Water","5724","","","","","2008-11-03-12:10:01","","2008-10-22-12:32:14",""
"67906842","TOWNSHIP OF SIOUX NARROWS-NESTOR FALLS","60008","82609","Mainland","6008","","","","","2008-11-03-12:10:01","","2008-10-22-12:35:48",""
"67906798","MUNICIPALITY OF OLIVER PAIPOONGE","58007","89618","Mainland","5808","","","","","2008-11-03-12:10:01","","2008-10-22-12:34:12",""
"67906841","TOWNSHIP OF IGNACE","60001","82601","Mainland","6001","","","","","2008-11-03-12:10:01","","2008-10-22-12:35:43",""
"67906839","TOWN OF RAINY RIVER","59042","87402","Water","5942","","","","","2008-11-03-12:10:01","","2008-10-22-12:35:37",""
"67906766","TOWN OF THESSALON","57028","80403","Mainland","5728","","","","","2008-11-03-12:10:01","","2008-10-22-12:32:17",""
"67906826","TOWNSHIP OF LA VALLEE","59016","87608","Water","5916","","","","","2008-11-03-12:10:01","","2008-10-22-12:35:14",""
"67906831","TOWNSHIP OF CHAPPLE","59024","87605","Mainland","5924","","","","","2008-11-03-12:10:01","","2008-10-22-12:35:23",""
"67906816","TOWN OF MARATHON","58059","89403","Mainland","5859","","","","","2008-11-03-12:10:01","","2008-10-22-12:34:56",""
"67906832","TOWNSHIP OF CHAPPLE","59024","87605","Water","5924","","","","","2008-11-03-12:10:01","","2008-10-22-12:35:26",""
"67906786","TOWNSHIP OF PRINCE","57066","80610","Mainland","5766","","","","","2008-11-03-12:10:01","","2008-10-22-12:33:36",""
